id,institucion,provincia,localidad,direccion,cp,telefono,email,horario_atencion,tipo_api,lat,lon
158,Comisaría De La Mujer,BUENOS AIRES,Virrey Del Pino,"Gorostiaga 5880 (Entre Cirilo Y Ruta Nacional 3, Km 40)",,(02202) 497000,,Lunes a Viernes de 8 a 14 hs,Comisaria Mujer,-34.8502885,-58.656284400000004
159,Comisaría De La Mujer,BUENOS AIRES,San Justo,Ombú 3720,,4484-5826/8387,,24 hs,Comisaria Mujer,-34.6805498,-58.54956240000001
160,Oficina De Atención De Violencia Familiar,BUENOS AIRES,Laferrere,Rafael Ogligado y Gutierrez,,4626-1111/1444,,Lunes a Viernes de 8 a 13 hs,Legal,-34.74841833292925,-58.5910964012146
161,Oficina De Atención De Violencia Familiar,BUENOS AIRES,Lomas Del Mirador,Pedernera 947,,4697-7195/38928,,Lunes a Viernes de 8 a 13 hs,Legal,-34.6849658  ,-58.50395609999998
162,Oficina De Atención De Violencia Familiar,BUENOS AIRES,Gonzalez Catan,Sáenz 404,,(02202) 431333/422338,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-34.7704912,-58.644496600000025
164,Asistencia a Victimas de Violencia,BUENOS AIRES,Gonzalez Catan,Avenida Juan Manuel de Rosas 17798,,(02202) 439895/419037,,Lunes a Viernes de 8 a 14 hs,Mujer,-34.7933303,-58.63205429999999
165,Hospital Zonal General “Simplemente Evita”,BUENOS AIRES,Gonzalez Catan,Doctor Equiza 3610,,(02202) 422232,,24 hs,Salud,-34.7659482,-58.65287260000002
166,Unidad De Pronta Atención,BUENOS AIRES,Gonzalez Catan,Ruta 3. Km 29.500,,Sin Teléfono,,24 hs,Salud,-34.761076397972246,-58.62298250198364
167,Hospital Interzonal General De Agudos “Dr. Parisién”,BUENOS AIRES,Isidro Casanova,Avenida Juan Manuel De Rosas 5978,,4669-3440/4466-1200,,24 hs,Salud,-32.9903185,-60.6419472
168,Hospital Municipal,BUENOS AIRES,San Justo,Granada 4175,,4441-9371/2776,,24 hs,Salud,-34.64894399643539 ,-58.527878709719516
169,Hospital Materno Infantil “Dra. Teresa Germani”,BUENOS AIRES,Laferrere,Avenida Luro 6561,,4626-0315/0447,,24 hs,Salud,-34.7547251,-58.5794597
170,"Ong ""La Paloma"" – Centro De Día",BUENOS AIRES,Villa Luzuriaga,Lezica 1601,,4461-3679,,Lunes a Viernes de 9 a 17 hs,Organización no gubernamental,-34.8411543,-58.32330000000002
171,Ong “Red De Mujeres De La Matanza”,BUENOS AIRES,Isidro Casanova,Bedoya 6315,,4467-7045,,Lunes a Viernes de 9 a 17 hs,Organización no gubernamental,-34.423503,-58.75268319999998
172,Ong “Había Una Vez” (Anexo 1),BUENOS AIRES,Gonzalez Catan,Llorente 6229,,(02202) 450145,,,Organización no gubernamental,-34.7749159,-58.614655200000016
173,Ong “Había Una Vez” (Anexo 2),BUENOS AIRES,Gonzalez Catan,Atenzo 6963,,(02202) 424047,,,Organización no gubernamental,-34.7936523,-58.621309800000006
174,Ong “Abriendo Caminos”,BUENOS AIRES,Laferrere,Sequeira 4381 (Esquina Fajardo),,4698-4781,,,Organización no gubernamental,-36.6294365,-64.27132419999998
175,Ong “Caminos De Esperanza”,BUENOS AIRES,Rafael Castillo,Polledo 2008 (Entre Soldado Sosa y Tres Cruces),,4690-0703,,Miércoles de 9 a 16 hs,Organización no gubernamental,-32.892242,-60.72033520000002
176,Ong “Centro Popular De Las Mujeres”,BUENOS AIRES,Virrey Del Pino,Manzana 52 F Lote 24,,Sin teléfono de linea,,"Lunes, Miercoles, Jueves y Viernes de 7 a 18 hs , Martes de 14 a 19 hs",Organización no gubernamental,-34.849875031954156,-58.66579055786133
177,Ong “El Paraíso”,BUENOS AIRES,Rafael Castillo,Don Bosco 7806,,4697-6794,,Lunes a Viernes de 15 a 17 hs,Organización no gubernamental,-34.6931275,-58.630075499999975
178,Hospital Subzonal Especializado “Dr. Ramos Mejía”,BUENOS AIRES,La Granja,Calle 143 S/N (Entre Calle 521 y 522),,(0221) 4705513/6176,,24 hs,Salud,-34.92584158989102  ,-58.01828384399414
179,Secretaría De Políticas De Género,BUENOS AIRES,La Plata,"Pasaje Dardo Rocha (1° P, Oficina 115)",,(0221) 4232232,,Lunes a Viernes de 9 a 15 hs,Mujer,-34.91451090855676 ,-57.94910430908203
180,Comisaría De La Mujer,BUENOS AIRES,La Plata,Calle 1 N° 527 (Entre Calle 42 y 43),,(0221) 4231826,,24 hs,Comisaria Mujer,-34.90430491889555,-57.950477600097656
181,Hospital Interzonal De Agudos Especialista En Pediatría “Sor María Ludovica”,BUENOS AIRES,La Plata,Calle 14 N° 1631,,(0221) 4535901 al 10/912/3,,24 hs,Salud,-34.93220700000001 ,-57.942503699999975
182,Hospital Interzonal General De Agudos “General San Martín”,BUENOS AIRES,La Plata,Calle 1 (Esquina Calle 70),,(0221) 4211195/99,,24 hs,Salud,-34.92408226992001  ,-57.92434215545654
183,Hospital Interzonal General De Agudos Prof. “Dr. Rodolfo Rossi”,BUENOS AIRES,La Plata,Calle 37 N°183 (Entre Calle 117 y 118),,(0221) 4828821/4247598,,24 hs,Salud,-34.89603361743745  ,-57.953481674194336
184,Hospital Interzonal Especializado De Agudos Y Crónicos “San Juan De Dios”,BUENOS AIRES,La Plata,Calle 27 y 70,,(0221) 4575454/4533404/4511327,,24 hs,Salud,-34.94790025966346   ,-57.950263023376465
185,Hospital Zonal Especializado “Reencuentro”,BUENOS AIRES,La Plata,Calle 64 N° 591 (Entre Calle 6 y 7),,(0221) 4831313 (interno: 33)/0800-999-0960,,24 hs,Salud,-34.92383596211394 ,-57.9364013671875
186,Hospital Zonal General De Agudos “Dr. Ricardo Gutiérrez”,BUENOS AIRES,La Plata,Diagonal 114 S/N (Entre Calle 39 Y 40),,(0221) 4830171 al 75/4236141 al 43,,24 hs,Salud,-34.8960114  ,-57.94826899999998
187,Hospital Interzonal  De Agudos Y Crónicos “Dr. Alejandro Korn”,BUENOS AIRES,Melchor Romero,Calle 520 (Entre Calle 173 y 178),,(0221) 4780281,,24 hs,Salud,-34.953106225295436  ,-58.05107116699219
188,Hospital Subzonal Especializado “Elina De La Serna De Montes”,BUENOS AIRES,La Plata,Calle 8 N° 483 (Entre Calle 41 y 42),,(0221) 4212729/4833869,,24 hs,Salud,-34.90923210678347  ,-57.9598331451416
189,Hospital Zonal Especializado “Dr. Noel H. Sbarra”,BUENOS AIRES,La Plata,Calle 8 N° 1689 (Entre Calle 66 y 67),,(0221) 4573496,,24 hs,Salud,-34.92707309142656  ,-57.935800552368164
190,Hospital Local “San Lucas”,BUENOS AIRES,Lisandro Olmos,Calle 52 S/N (Entre Calle 191 y 197),,(0221) 4961051/4962060,,24 hs,Salud,-34.99523423520096  ,-58.03510665893555
191,Hospital Subzonal Especializado “Dr. José Ingenieros”,BUENOS AIRES,Melchor Romero,Calle 161 y 514,,(0221) 4785800/4786004,,24 hs,Salud,-34.9444619  ,-58.03458219999999
192,Hospital Zonal General De Agudos “San Roque”,BUENOS AIRES,La Plata,Calle 508 S/N (Entre Calle 18 y 19),,(0221) 4840290/4710063/4711593,,24 hs,Salud,-34.8916168   ,-58.00838479999999
193,Ong “Propuesta”,BUENOS AIRES,Remedios De Escalada,Escalabrini Ortiz 243,,4241-9065,,"Lunes y Martes de 10:30 a 15 hs , Miércoles de 13:30 a 17 hs",Organización no gubernamental,-34.7219262,-58.39738310000001
194,Adultos Mayores,BUENOS AIRES,Lanus,Hipólito Yrigoyen 3863,,4229-2519 (interno: 4331),,Lunes a Viernes 8 a 15 hs,Adultos Mayores,-34.6996239,-58.39216929999998
195,Dirección De Niñez,BUENOS AIRES,Lanus,Melo 1669,,4247-2564 (Guardia Pasiva: 4241-1000),,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-34.7482556  ,-58.3784038
196,Hospital Interzonal General De Agudos “Evita”,BUENOS AIRES,Lanus,Río De Janeiro 1910,,4241-6122,,24 hs,Salud,-34.6962554  ,-58.40057999999999
197,Unidad De Pronta Atención,BUENOS AIRES,Lanus,Osorio y Pasaje Aguirre,,4208-2767/3218/4228-1329/4208-3944,,24 hs,Salud,-34.680511221337866   ,-58.43434810638428
198,Dirección De Niñez,BUENOS AIRES,Remedios De Escalada,Centenario Uruguayo 2898,,4230-7663,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-34.7318207 ,-58.3735107
199,Dirección De Niñez,BUENOS AIRES,Monte Chingolo,Bueras 4830,,4220-4281,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-34.7237606  ,-58.341621599999996
200,Dirección De Niñez,BUENOS AIRES,Remedios De Escalada,Luis Máspero 75,,4225-2747/4116-3192/4116-3195 (interno: 120),,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-34.7234477  ,-58.395809499999984
201,Comisaría De La Mujer,BUENOS AIRES,Remedios De Escalada,Aguilar 2333,,4247-9957,,24 hs,Comisaria Mujer,-34.7259754   ,-58.38851649999998
202,Hospital Local General De Agudos “Dr. Arturo Melo”,BUENOS AIRES,Remedios De Escalada,General Paz (Esquina Ugarte),,Sin Teléfono,,24 hs,Salud,-34.721214,-58.398510
203,Dirección De Niñez,BUENOS AIRES,Valentin Alsina,Paso De Burgos 777,,4208-5555,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-34.672101   ,-58.40985320000004
204,Dirección De Niñez,BUENOS AIRES,Lanus,Marco Avellaneda 4860,,4228-9555,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-34.6926575   ,-58.43189959999995
205,Dirección De Niñez,BUENOS AIRES,Lanus,Emilio Castro y Balbín,,4228-8281,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-34.68834543104469,-58.42359781265259
206,Comisaría De La Mujer,BUENOS AIRES,Laprida,Avenida Pedro Pereyra 1300,,(02285) 420999,,24 hs,Comisaria Mujer,-37.5467549975564,-60.79988479614258
207,Hospital “Pedro S. Sancholuz”,BUENOS AIRES,Laprida,Lavalle y Sancholuz,,(02285) 420182/0340,,24 hs,Salud,-37.54328429521587,-60.79615116119385
208,Hospital Zonal General De Las Flores,BUENOS AIRES,Las Flores,Abel Guaresti S/N,,(02244) 452883/2046,,24 hs,Salud,-33.75    ,-59.93333050000001
209,Hospital Municipal,BUENOS AIRES,Leandro N. Alem,Mendoza (Entre Belgrano y La Rioja),,(02354) 420645/2600,,24 hs,Salud,-34.5205536,-61.391876199999956
210,Hospital Municipal,BUENOS AIRES,Lezama,Desvío Ruta 57 S/N,,(02242) 432149/2819,,24 hs,Salud,-35.8869095,-57.9511642
211,Hospital Municipal,BUENOS AIRES,Lincoln,San Lorenzo 2000,,(02355) 423094/1600,,24 hs,Salud,-34.8667588,-61.54573340000002
212,Comisaría De La Mujer,BUENOS AIRES,Loberia,Suarez García 620,,(02261) 440608,,24 hs,Comisaria Mujer,-38.1640892,-58.7817154
213,Hospital Municipal,BUENOS AIRES,Loberia,Avenida San Martín 115,,(02261) 442059,,24 hs,Salud,-38.162914216660624,-58.78084123134613
214,Hospital Subzonal De Maipú,BUENOS AIRES,Loberia,Lavalle 1104,,(02268) 422063,,24 hs,Salud,-38.1630323152801,-58.78232181072235
215,Atención a Mujeres Victimas de Violencia,BUENOS AIRES,Lobos,Alem 95,,(02227) 421860,ATENCIONVIOLENCIAMUJER@SDH.GBA.GOV.AR,Lunes a Viernes de 9 a 14 hs,Mujer,-35.18910147994892,-59.09003019332886
216,Hospital Zonal General De Agudos,BUENOS AIRES,Lobos,Mastropietro 2150,,(02227) 421212/02,,24 hs,Salud,-35.1652094,-59.0915332
217,Dirección Municipal De Derecho De Las Mujeres Y Equidad De Genero,BUENOS AIRES,Banfield,Castro Barros 130 (Entre Alsina y Vergara),,3531-8350,,Lunes a Viernes de 9 a 15:30 hs,Mujer,-34.7372974,-58.39304470000002
218,Comisaría De La Mujer,BUENOS AIRES,Temperley,25 De Mayo 348,,4244-1474,,Lunes a Viernes de 9 a 13 hs,Comisaria Mujer,-34.7774065,-58.39936260000002
219,Servicio De Asistencia Jurídica Gratuita,BUENOS AIRES,Llavallol,Ruta Provincial 4 y Juan 23,,4252-9468/4282-9471/4283-2798,,"Lunes de 14:30 a 18 hs , Martes y Jueves de 16 a 19:30 hs",Legal,-34.77997173591063,-58.45782279968262
220,Comisaría 1°,BUENOS AIRES,Lomas De Zamora,Alem y Saenz,,4243-3333,,24 hs,Comisaria,-34.75846737340847,-58.39908242225647
221,Comisaría 2°,BUENOS AIRES,Banfield,Vergara 1279,,4242-3333/4444,,24 hs,Comisaria,-34.7457345,-58.3951222
222,Comisaría 4°,BUENOS AIRES,Llavallol,Euskal-Echea 277,,4298-6110/6200/6300/4231-7821,,24 hs,Comisaria,-34.8012835,-58.4252937
223,Comisaría 5°,BUENOS AIRES,Villa Fiorito,Necol 326,,4286-3538/3575/4267-2318,,24 hs,Comisaria,-34.7067646,-58.439527099999964
224,"Hospital Materno Infantil “Dr. Oscar E. Allende""",BUENOS AIRES,Ingeniero Budge,Claudio De Alas 2584,,4273-1271,,24 hs,Salud,-34.7149639,-58.46729959999999
225,Unidad De Pronta Atención,BUENOS AIRES,Villa Fiorito,Avenida Presidente Juan Domingo Perón y Recondo,,4267-3633/3826/3848,,24 hs,Salud,-34.715141996401705,-58.451653718948364
226,Hospital Interzonal  “José A. Esteves”,BUENOS AIRES,Temperley,Garibaldi 1661,,4298-4880/0091 al 93,,24 hs,Salud,-34.7793208,-58.4200914
227,Comisaría 6°,BUENOS AIRES,San Jose,Golondrina 2950,,4264-8777/1975,,24 hs,Comisaria,-34.7655616,-58.3604188
228,Comisaría 7°,BUENOS AIRES,Villa Centenario,Bilbao 199,,4242-3840/4202-9572,,24 hs,Comisaria,-34.7341232,-58.4238968
229,Comisaría 8°,BUENOS AIRES,Temperley,Iriarte 1409,,4244-3344/4243-6865,,24 hs,Comisaria,-34.7658061,-58.3840845
230,Comisaría 9°,BUENOS AIRES,Lomas De Zamora,Falucho 84,,4282-4433/0497/7947,,24 hs,Comisaria,-34.7653768,-58.4351775
231,Comisaria 10°,BUENOS AIRES,Lomas De Zamora,Camino Negro y Mentruyt,,4285-1792/1786,,24 hs,Comisaria,-34.7529183,-58.4159279
232,Mesa General De Denuncias De Tribunales,BUENOS AIRES,Lomas De Zamora,Camino Negro y Larroque,,4202-8388/1327,,Lunes a Viernes de 8 a 13 hs,Legal,-34.74275855418197,-58.429654240608215
233,Ong “Propuesta”,BUENOS AIRES,Banfield,Avenida Hipólito Yrigoyen 7837 (10°P),,4247-0966/4241-9065,,"Lunes de 10 a 15 hs , Miercoles de 15 a 17 hs , Viernes de 10 a 12.30 hs",Organización no gubernamental,-34.7470133,-58.3997863
234,Hospital Interzonal General De Agudos “Luisa C. Gandulfo”,BUENOS AIRES,Lomas De Zamora,Balcarce 351,B1832GVG,4243-5555,,24 hs,Salud,-34.761726,-58.3928727
235,Comisaría De La Mujer,BUENOS AIRES,Lujan,Las Heras 381,,(02323) 437330,,24 hs,Comisaria Mujer,-34.56744,-59.1178185
236,Hospital Municipal,BUENOS AIRES,Lujan,San Martín 1750,,(02323) 420437/4870,,24 hs,Salud,-34.5708405,-59.097612200000015
237,Hospital Subzonal “Santa María Magdalena”,BUENOS AIRES,Magdalena,Las Heras 385,,(02221) 453313/3443,,24 hs,Salud,-35.0765,-57.517536
238,Comisaría De La Mujer,BUENOS AIRES,Grand Bourg,Ruta 197 y Ruta 8,,(02320) 4231930,,24 hs,Comisaria Mujer,-34.509315036420745,-58.728554248809814
239,Oficina De Violencia,BUENOS AIRES,Malvinas Argentinas,Soldado Baigorria 1460,,(02320) 480793 (internos: 107/108),,Lunes a Viernes de 8 a 14 hs,Mujer,-34.4852023,-58.72381869999998
240,Hospital Materno Infantil “Mohibe Akil”,BUENOS AIRES,Grand Bourg,Paso De Los Andes 115,,(02320) 485126,,24 hs,Salud,-34.5041959,-58.72158179999997
241,Hospital General “Los Polvorines Dr. Carrillo”,BUENOS AIRES,Los Polvorines,San Martín 2993,,4660-0165,,24 hs,Salud,-31.3994664,-64.06147249999998
242,Centro De Salud,BUENOS AIRES,Villa De Mayo,Los Eucaliptos 501,,4463-6525,,24 hs,Salud,-34.522942,-58.683036200000004
243,Centro de Asistencia a la Victima,BUENOS AIRES,Malvinas Argentinas,Avenida Presidente Perón 4276 (2° P),,4660-9000,,Lunes a Viernes de 8 a 14 hs,Mujer,-34.497978,-58.69841969999999
244,Hospital Municipal,BUENOS AIRES,Mar Chiquita,Belgrano 250,,(02265) 432332/432340,,24 hs,Salud,-37.7449379,-57.42444610000001
245,Comisaría De La Mujer,BUENOS AIRES,Marcos Paz,Vieytes y Agüero,,(0220) 4770560,,24 hs,Comisaria Mujer,-34.781945626076215,-58.844640254974365
246,Hospital “Dr. Héctor J. D'Agnillo”,BUENOS AIRES,Marcos Paz,Alem 250,,(0220) 4770032/0162/1924,,24 hs,Salud,-34.7845421,-58.83446170000002
247,Hospital Zonal General De Agudos “Blas Dubarry”,BUENOS AIRES,Mercedes,Calle 12 N° 825,,(02324) 421569/432887,,24 hs,Salud,-34.655308,-59.43612630000001
248,Comisaría De La Mujer,BUENOS AIRES,Merlo,Juncal 363,B1722ESG,(0220) 4836060,,24 hs,Comisaria Mujer,-34.6708554,-58.72599379999997
249,Hospital Zonal General De Agudos “Héroes De Malvinas”,BUENOS AIRES,Merlo,Ricardo Balbín 1910,,(0220) 4859322/114,,24 hs,Salud,-34.6692547,-58.7432838
250,Hospital Municipal,BUENOS AIRES,Merlo,Pasteur 444 y Colón (Entre Chacabuco y Maipú),B1722ENB,(0220) 4850931,,24 hs,Salud,-34.6682784,-58.7213417
251,Hospital Materno Infantil “Dr. P. Chutro”,BUENOS AIRES,San Antonio De Padua,Chubut 368 y Cochabamba (Entre Noguera y Directorio),B1718DOH,(0220) 4822309/4820797,,24 hs,Salud,-34.6684196,-58.696507999999994
252,Hospital “Zenón Videla Dorna”,BUENOS AIRES,Monte,Videla Dorna 851,,(02271) 443100/2666,,24 hs,Salud,-35.4395544,-58.807028
253,Hospital Municipal,BUENOS AIRES,Monte Hermoso,Puerto Madryn y Doctor Zabala,,(02921) 481127,,24 hs,Salud,-38.979561774943136,-61.30141496658325
254,Programa De Prevención De La Violencia,BUENOS AIRES,Moreno,Merlo 226 (Entre De La Quintana Y Maipu),,(0237) 4628178,,Lunes a Viernes de 8 a 13 hs,Mujer,-34.6498224,-58.7829572
255,Comisaría De La Mujer,BUENOS AIRES,Paso Del Rey,Salvador María Del Carril 255,,(0237) 4628837/4638910,,24 hs,Comisaria Mujer,-34.6549862,-58.76203850000002
256,Hospital Descentralizado Zonal “General Mariano Y Luciano De La Vega”,BUENOS AIRES,Moreno,Avenida Libertador 710,,(0237) 4620038/4620039,,24 hs,Salud,-34.6418336,-58.788435400000026
257,Comisaría,BUENOS AIRES,Moron,García Silva 923,,4629-6150,,24 hs,Comisaria,-34.6538707,-58.62163570000001
258,Hospital Municipal,BUENOS AIRES,Moron,Doctor Monte 848,,4629-1165/64/1599,,24 hs,Salud,-34.6588137,-58.61044829999997
259,Dirección De Políticas De Género,BUENOS AIRES,Moron,Pellegrini 622,,5279-3214,POLITICASDEGENERO@MORON.GOV.AR,Lunes a Viernes de 8 a 13 hs,Mujer,-34.6548369,-58.617749300000014
260,Centro Municipal Para Mujeres En Situación De Violencia Conyugal “Vivir Sin Violencia”,BUENOS AIRES,Moron,Mendoza 289,,0800-345-6853,VIVIRSINVIOLENCIA@MORON.GOV.AR,Lunes a Viernes de 8 a 16 hs,Mujer,-34.645597,-58.6226211
261,Hospital Municipal,BUENOS AIRES,Navarro,Avenida 16 S/N (Entre Calle 115 y 117),,(02272) 430005,,24 hs,Salud,-35.0033722,-59.275589
262,Ong “Antígonas” – Centro De Estudios Y Asistencias,BUENOS AIRES,Necochea,Calle 61 N° 3306,,(02262) 528081,,Lunes a Jueves de 9 a 17 hs,Organización no gubernamental,-38.5500006,-58.74751100000003
263,Comisaría De La Mujer,BUENOS AIRES,Necochea,Calle 24 N°4242 (Entre Calle 85 Bis y 87),,(02262) 430242,,24 hs,Comisaria Mujer,-38.5774617,-58.73583639999998
264,Hospital Municipal,BUENOS AIRES,Necochea,Calle 26 N°1926,,(02264) 498251,,24 hs,Salud,-38.5640574,-58.72104609999997
265,Hospital Municipal,BUENOS AIRES,Necochea,Calle 59 N° 4801,,(02262) 422405,,24 hs,Salud,-38.5381268,-58.76102449999996
266,Hospital Subzonal “General J. Irurzun”,BUENOS AIRES,Quequen,Calle 541 N° 3550,,(02262) 450052,,24 hs,Salud,-38.5452585,-58.7171194
267,Comisaría De La Mujer,BUENOS AIRES,Olavarria,9 De Julio 265,,(02284) 480100,,24 hs,Comisaria Mujer,-36.8924179,-60.31246569999996
268,Hospital Municipal,BUENOS AIRES,Espigas,Udo Bress (Entre Calle 10 y 12),,(02314) 493011,,24 hs,Salud,-36.4169312,-60.677490199999966
269,Hospital Municipal,BUENOS AIRES,Sierras Bayas,Miguel Smirnoff 2362,,(02284) 492105,,24 hs,Salud,-36.9497719,-60.1501503
270,Comisaría De La Mujer,BUENOS AIRES,Pehuajo,Rivarola 148,,(02396) 479026,,24 hs,Comisaria Mujer,-35.8110008,-61.8956757
271,Hospital Local “Dr. Francisco Benincasa”,BUENOS AIRES,Juan J. Paso,Francisco Benincasa 1,,(02396) 498051,,24 hs,Salud,-35.8566284,-62.29796980000003
272,Hospital Zonal “Dr. Juan Carlos Aramburu”,BUENOS AIRES,Pehuajo,Dean Funes 56,,(02396) 472203/3230,,24 hs,Salud,-35.806258958239475,-61.89874291419983
273,Hospital “Dr. Guillermo Del Soldado”,BUENOS AIRES,Pellegrini,Ugarte 317,,(02392) 498660,,24 hs,Salud,-36.2681885,-63.1615372
274,Comisaría De La Mujer,BUENOS AIRES,Pergamino,Monteagudo 78,,(02477) 425684/433531,,Lunes a Viernes de 8 a 14 hs,Comisaria Mujer,-33.8882794,-60.57759579999998
275,Hospital Interzonal General De Agudos “San José”,BUENOS AIRES,Pergamino,Liniers 950,,(02477) 429792 al 99/9741/423422,,24 hs,Salud,-33.9110898,-60.58250720000001
276,Hospital Municipal,BUENOS AIRES,Pila,Calle 6 (Esquina Calle 11),,(02242) 498230,,24 hs,Salud,-36.0017624,-58.14040369999998
277,Hospital Central “Juan Cirilo Sanguinetti”,BUENOS AIRES,Pilar,Víctor Vergani 860,,(0230) 4420508,,24 hs,Salud,-34.4611312  ,-58.91019849999998
278,Hospital Comunitario,BUENOS AIRES,Pinamar,Avenida Shaw 255,,(02254) 491670 (interno: 671),,24 hs,Salud,-37.0974846,-56.851947800000005
279,Área de Violencia Familiar,BUENOS AIRES,Presidente Peron,Avenida 59 Nº 3907,,(02262) 435882,,Lunes a Viernes de 8 a 14 hs,Mujer,-34.9101084,-58.3898825
280,Comisaría De La Mujer,BUENOS AIRES,Guernica,Calle 115 S/N (Entre Calle 106 y 108),,(02224) 491400,,24 hs,Comisaria Mujer,-34.9073448,-58.37846379999996
281,Hospital Zonal General De Agudos “Dra. Cecilia Grierson”,BUENOS AIRES,Guernica,Juan Bautista Alberdi 38,,(02224) 475415/17,,24 hs,Salud,-34.9194836,-58.390594299999975
282,Hospital Municipal,BUENOS AIRES,Puan,Juanena S/N,,(02923) 498542,,24 hs,Salud,-37.54124263012415  ,-62.77420520782471
283,Hospital Municipal,BUENOS AIRES,Villa Iris,Sarmiento 12,,(02925) 432102/2566,,24 hs,Salud,-37.5447273,-62.76708980000001
284,Hospital De La Comunidad “Dr.Guillermo Hernández”,BUENOS AIRES,Punta Indio,Calle 2 y Circunvalación,,(02221) 480420/22,,24 hs,Salud,-35.2743492,-57.26073839999998
285,Comisaría De La Mujer,BUENOS AIRES,Don Bosco,Pilcomayo 69,,4252-0033,,"Lunes, Jueves y Viernes de 10 a 14 hs",Comisaria Mujer,-34.7032373,-58.300798999999984
286,"Oficina Promoción, Protección Y Restitución Del Derecho De Las Mujeres",BUENOS AIRES,Quilmes,San Martín 786,,4253-0276,tenemosderechos@hotmail.com.ar,Lunes a Domingo de 9 a 19 hs,Mujer,-34.7260471,-58.256970000000024
287,"Hospital Zonal General De Agudos ""Dr. Isidoro Iriarte”",BUENOS AIRES,Quilmes,Allison Bell 770,,4253-6021/23,,24 hs,Salud,-34.7205533,-58.24687819999997
288,Hospital “J. M. Gomendio”,BUENOS AIRES,Ramallo,Gomendio 1374,,(03407) 421555/1336,,24 hs,Salud,-33.490005  ,-60.00697839999998
289,Hospital “Juan y María Scasso De Campomar”,BUENOS AIRES,Ranchos,Avenida Campomar 3413,,(02241) 475242/250 (interno: 108),,24 hs,Salud,-35.1916389,-59.0866776
290,Hospital Municipal,BUENOS AIRES,Rauch,Alberti 450,,(02297) 442620/2240,,24 hs,Salud,-36.666667,-59.1
291,Comisaría De La Mujer,BUENOS AIRES,Rivadavia,Avecillas 11,,(02337) 405700,,24 hs,Comisaria Mujer,-35.490306453554105  ,-62.97543525695801
